pid,idper
395c2759-b9d7-4fc6-96a8-888d63164165,90e3da51-b71a-4d94-9606-e376a61fd034
bbc253e7-69a1-4639-90f0-96efa6ccbc3c,0c62e752-52b9-4187-b2c2-d03507b18a10
c90ba1ec-cb88-4bd4-8979-057bfb5af4ea,5914d027-1b1b-4093-96d4-9c8a17ac2b10
41585c0b-db71-495f-b31d-9b59ae540eca,8a087e44-2705-44fd-bcc9-1f1f6707862b
1416893d-8d7f-4114-aceb-e950a0626e8c,5914d027-1b1b-4093-96d4-9c8a17ac2b10
4ea15c6e-69b1-4980-9645-0a8b5aaaf59a,791bfffb-6f61-4721-beda-b663b2c08165
f882c7a0-6753-40a2-a39c-5b097b546516,d021bae0-9640-4880-bda5-c92e4398be88
77fbedef-44e7-467d-8fa9-500f1a464061,4c2cc472-7e2f-4300-b4e7-fb3b79cb8e73
c8b9dda6-c969-4535-b785-b3fc45df370c,2a53c901-f8f7-4682-9678-0526cb9b81cd
5442fd5b-6fd3-44cc-ad2d-25d0d07115ef,81663b99-01bd-4140-91e2-978c5b4a409a
e3b21ac2-5cb3-499f-816d-7afefbf70160,bad0e6fa-8557-4331-97e2-53fc7701792e
06b80221-ab72-4428-abcf-e82e3be543fe,d6de7d2a-6b3a-4a97-b039-91cac03a6d55
8ec824fd-3e8e-4c09-8f7f-8d85ccbf5b95,4c4b4f8c-503f-400d-ba6a-b8c0532baff3
a2a385c7-af5e-4660-a327-72478917483a,8e15b14c-9811-4e28-8a22-e8ee47c42bce
3500a9be-2f28-48a5-a6a1-0c007e567973,81663b99-01bd-4140-91e2-978c5b4a409a
0a478283-2a45-4316-bffa-c6d4101ab92c,bd44de6a-f417-444c-95e5-87dc5d8d47f2
099193a5-bb45-4938-8d5a-a3f7c9d2d7de,d1ffa097-c420-4151-99db-89b03a986d01
ea2f7767-5fb7-42a4-bb12-e68e56d2c864,8a087e44-2705-44fd-bcc9-1f1f6707862b
859ab515-8795-49d1-8895-9eedf5b31a0e,bad0e6fa-8557-4331-97e2-53fc7701792e
416f7864-7c6a-49fd-8d05-d9cd38505ccc,dbfd2fd4-2830-47b2-a3b3-2166af217c73
f73db34a-ff9e-40f8-99eb-7f85bcaaee0c,513209a9-fca9-439e-b724-9c24691492eb
f994baaf-8ede-4839-8ad8-40aceb60bc0c,0f15cf66-a771-4869-aaf9-4777e2acd05e
787c92dc-538f-4292-a4a9-b89337403496,046b7bec-a345-493d-8e32-76c92f20fd5a
5fb6c006-57d0-4ff0-82d1-0a9ba644874b,b65ffc6a-60ba-472b-8a8c-ba21979af3ba
3ea34ea2-5b91-4502-a31d-2bec0f4c3b59,81663b99-01bd-4140-91e2-978c5b4a409a
e5ce1926-86db-49a4-b280-23f1157fea31,8a087e44-2705-44fd-bcc9-1f1f6707862b
cb9dcb7e-540e-4c10-9d07-57c9ed0bfc6a,b15acf32-cadc-4806-869f-4b78ec5c2626
43925974-9e23-4809-81aa-a451b07d4001,62628714-d4e6-4410-9e50-4f116dafa154
0d4ea809-3f35-4838-b9e5-56fccf5bab4e,04304286-ec3a-4578-b4ab-570336326258
35b04c3a-ae12-4cac-8fa3-2f67780157ee,ce907ece-bbba-44bf-b7f0-e5d7305dc983
afa1675e-c8ab-4a21-be67-a3dea57cb92e,da159f75-0a29-4377-8cae-fc22ab3b4c7d
724430e0-3708-46bb-9c1e-405fd77ae1f6,82cdfc99-0199-45c0-ae5b-31cd849d27c7
fb0fa906-18f0-4d2b-9980-b6d3e83d3dd9,172ab1b2-7ba2-4f98-ad29-995ef87d045b
da541d0e-ffaa-4ead-9593-48fe95c44842,8a087e44-2705-44fd-bcc9-1f1f6707862b
236db3de-aa55-4f6b-a058-6c6d51594a32,0f15cf66-a771-4869-aaf9-4777e2acd05e
6708102b-b090-42f4-ab28-129b1f1d1b3e,1df02b5f-29e9-4f0e-9934-477c2cc7a03f
e84b915a-8233-4dca-8e7b-b1665112e9e1,f17006f6-eb7c-4876-a730-e467cf1eea51
3027f8b7-ca17-494c-8c47-d42ae13e98f0,10b9442d-416a-4ebb-a7ae-6690744b032e
2c8f82e4-f41d-4acb-b4cf-4c367b2c5c1a,0e608c2e-c0b1-4cfe-8f29-c11e673c097a
e723e555-9688-49b6-bf5f-9eb957ad6d3d,df30a048-0d62-43cf-b3f5-d7d0f0034469
ab34ea1c-3542-4b6f-8790-1701693291f4,cdbff0b7-8d5d-487a-bc38-4f5de72aea88
fd6b6137-b116-41ca-97fd-c4db56d5b25b,2a53c901-f8f7-4682-9678-0526cb9b81cd
fa595a66-4ae7-4a9d-9b8d-0ad76ded1649,5c7afa64-bb7e-4be9-8b70-a1645af05027
12033b9f-5a35-4b56-9002-a909492afd9a,32f81c35-7ca9-4d08-82b3-956b615a8ae1
91906a39-b748-4558-b456-7c58c5f41f02,e1c4ec73-6fbe-407f-a911-42fa65992f7e
81ff02d0-86e5-49af-8712-d8046f2aa51b,36f935da-df21-47f8-bbb2-0b7be5b8673b
9f87c309-2860-4c9c-9dc3-e1683a1f3e02,3080ffbf-e70c-4181-bc00-cf0c8d4d150a
d9fb95af-93c8-43f5-8c50-6b46ac59f344,0f15cf66-a771-4869-aaf9-4777e2acd05e
9c61cdbc-a334-466c-b587-1c1d2b64bcc7,3080ffbf-e70c-4181-bc00-cf0c8d4d150a
e9fc0f1b-911e-4288-88b2-44e0aff5d94c,19db5d64-6a6a-44aa-a78e-074ccaddf8c1
